"","Attrition","BusinessTravel","DailyRate","Department","EducationField","Gender","HourlyRate","JobLevel","JobRole","JobSatisfaction","MaritalStatus","MonthlyIncome","MonthlyRate","OverTime","PercentSalaryHike","PerformanceRating","RelationshipSatisfaction","TotalWorkingYears","YearsInCurrentRole","YearsSinceLastPromotion","YearsWithCurrManager","Age_Group","Env_Group","Years_Group","Edu_Group","WorkLife_Group","JobInvolvement_Group"
"295","No","Travel_Rarely","511","Sales","Life Sciences","Female","32","2","Sales Executive","4","Single","6029","25353","No","12","3","1","6","2","2","2","Medium","High","Low","Low","High","Low"
"296","No","Travel_Rarely","1230","Research & Development","Life Sciences","Male","33","2","Manufacturing Director","4","Married","4775","19146","No","22","4","1","4","2","2","2","Young","High","Low","Low","Low","Low"
"297","No","Travel_Frequently","607","Sales","Marketing","Female","83","2","Sales Executive","1","Married","4639","2261","No","16","3","4","17","7","6","13","Medium","Low","High","High","Low","High"
"298","No","Travel_Rarely","433","Human Resources","Human Resources","Male","37","1","Human Resources","3","Married","2844","6004","No","13","3","4","7","6","5","0","Medium","High","Low","High","High","High"
"299","No","Non-Travel","1413","Research & Development","Technical Degree","Male","84","1","Laboratory Technician","3","Single","3500","25470","No","14","3","1","7","5","1","3","Medium","High","Low","Low","Low","High"
"300","No","Non-Travel","1262","Research & Development","Medical","Male","35","4","Manager","4","Single","16885","16154","No","22","4","3","27","4","2","1","Old","Low","Low","High","Low","High"
"301","Yes","Travel_Rarely","896","Research & Development","Medical","Male","86","1","Research Scientist","4","Single","2389","14961","Yes","13","3","3","4","3","0","1","Young","High","Low","Low","Low","Low"
"302","Yes","Travel_Frequently","1337","Human Resources","Human Resources","Female","58","1","Human Resources","2","Married","2863","19555","No","12","3","1","1","0","0","0","Young","Low","Low","High","High","Low"
"303","No","Travel_Rarely","107","Sales","Technical Degree","Female","84","2","Sales Executive","2","Divorced","6852","11591","No","12","3","2","7","1","1","3","Medium","Low","Low","High","High","Low"
"304","No","Travel_Rarely","1214","Research & Development","Medical","Male","30","1","Research Scientist","3","Single","2859","26278","No","18","3","1","6","4","0","4","Medium","Low","Low","High","High","Low"
"305","No","Non-Travel","217","Research & Development","Life Sciences","Male","78","2","Manufacturing Director","4","Single","7779","23238","No","20","4","1","18","9","0","9","Medium","Low","High","High","High","High"
"306","No","Travel_Rarely","305","Research & Development","Life Sciences","Male","58","2","Healthcare Representative","3","Married","5294","9128","No","16","3","3","10","0","1","7","Young","High","Low","High","High","High"
"307","No","Travel_Rarely","1349","Research & Development","Life Sciences","Female","90","1","Research Scientist","4","Divorced","2886","3032","No","22","4","2","3","2","0","2","Young","Low","Low","High","Low","High"
"308","No","Travel_Rarely","583","Research & Development","Medical","Female","57","3","Healthcare Representative","3","Divorced","10388","6975","Yes","11","3","3","16","10","10","1","Medium","High","High","High","Low","High"
"309","No","Non-Travel","587","Sales","Life Sciences","Female","57","3","Sales Executive","3","Divorced","9852","8935","Yes","19","3","1","10","8","9","6","Young","High","High","High","Low","High"
"310","No","Travel_Rarely","1490","Research & Development","Medical","Male","43","1","Laboratory Technician","3","Married","2660","20232","Yes","11","3","3","5","2","2","2","Medium","High","Low","High","High","High"
"311","No","Travel_Rarely","536","Sales","Marketing","Male","82","3","Sales Executive","3","Divorced","8380","21708","Yes","14","3","4","10","8","0","8","Medium","High","Low","High","High","High"
"312","No","Travel_Rarely","713","Research & Development","Life Sciences","Female","67","1","Research Scientist","1","Divorced","4257","13939","Yes","18","3","3","19","2","2","2","Old","High","Low","High","High","High"
"313","Yes","Travel_Rarely","1329","Research & Development","Life Sciences","Male","73","1","Laboratory Technician","1","Single","2166","3339","Yes","14","3","2","10","2","0","3","Medium","Low","Low","High","Low","High"
"314","No","Travel_Frequently","994","Sales","Life Sciences","Male","37","3","Sales Executive","3","Single","8726","2975","No","15","3","4","9","8","1","7","Young","High","Low","High","High","High"
"315","No","Travel_Rarely","1192","Research & Development","Medical","Male","61","2","Manufacturing Director","4","Divorced","6347","23177","No","16","3","3","8","2","0","4","Medium","High","Low","Low","Low","High"
"316","Yes","Travel_Rarely","587","Research & Development","Medical","Male","38","1","Laboratory Technician","4","Divorced","3408","6705","No","13","3","1","8","3","1","3","Medium","Low","Low","Low","High","Low"
"317","No","Travel_Rarely","1316","Research & Development","Medical","Male","83","1","Research Scientist","4","Single","3452","9752","No","13","3","2","9","5","0","3","Medium","High","Low","High","Low","High"
"318","No","Non-Travel","1162","Research & Development","Medical","Female","98","3","Research Director","2","Married","11957","17231","No","18","3","1","14","8","5","12","Medium","High","High","Low","Low","High"
"319","Yes","Travel_Frequently","708","Sales","Medical","Female","95","1","Sales Representative","3","Married","2655","11740","Yes","11","3","3","19","7","7","7","Old","High","Low","Low","High","High"
"320","No","Travel_Rarely","836","Research & Development","Medical","Female","33","4","Manager","3","Divorced","14756","19730","Yes","14","3","3","21","0","0","2","Old","High","Low","High","High","High"
"321","No","Travel_Rarely","750","Research & Development","Life Sciences","Male","46","2","Laboratory Technician","3","Married","3407","25348","No","17","3","4","10","9","6","8","Medium","Low","High","High","Low","High"
"322","Yes","Travel_Rarely","1356","Sales","Marketing","Female","70","1","Sales Representative","2","Single","3140","21728","Yes","22","4","4","4","3","0","2","Medium","Low","Low","Low","Low","High"
"323","No","Non-Travel","120","Sales","Medical","Male","43","2","Sales Executive","3","Married","4221","8863","No","15","3","2","5","4","0","4","Young","Low","Low","High","High","High"
"324","No","Non-Travel","585","Sales","Life Sciences","Male","40","1","Sales Representative","4","Divorced","3482","19788","No","15","3","2","16","8","0","0","Old","Low","Low","High","Low","High"
"325","No","Travel_Rarely","271","Research & Development","Medical","Female","43","2","Laboratory Technician","1","Married","4789","23070","No","25","4","1","10","2","1","2","Old","High","Low","Low","High","Low"
"326","No","Travel_Rarely","1376","Sales","Medical","Male","45","4","Manager","3","Divorced","14852","13938","No","13","3","3","22","13","15","2","Old","High","High","Low","High","High"
"327","No","Travel_Rarely","408","Research & Development","Life Sciences","Male","73","1","Research Scientist","2","Married","3022","10227","No","21","4","1","8","0","0","0","Medium","Low","Low","Low","High","High"
"328","No","Travel_Frequently","793","Sales","Life Sciences","Male","67","1","Sales Representative","4","Married","2791","21981","No","12","3","1","3","2","2","2","Young","High","Low","High","High","High"
"329","No","Travel_Rarely","1009","Sales","Life Sciences","Female","31","2","Sales Executive","1","Divorced","6893","19461","No","15","3","4","11","7","1","7","Medium","Low","Low","Low","High","High"
"330","No","Travel_Rarely","326","Sales","Life Sciences","Female","48","2","Sales Executive","4","Single","5171","16490","No","17","3","4","13","1","0","5","Old","High","Low","High","High","Low"
"331","No","Travel_Rarely","1319","Research & Development","Medical","Male","51","2","Research Scientist","1","Divorced","5974","17001","Yes","13","3","1","13","7","6","7","Medium","High","Low","High","High","High"
"332","No","Travel_Rarely","544","Human Resources","Technical Degree","Male","52","1","Human Resources","3","Divorced","2696","24017","Yes","11","3","3","4","2","1","0","Medium","High","Low","Low","High","High"
"333","No","Non-Travel","530","Sales","Life Sciences","Female","36","2","Sales Executive","4","Divorced","5368","16130","Yes","25","4","3","7","5","1","2","Medium","High","Low","High","High","High"
"334","No","Travel_Frequently","240","Research & Development","Life Sciences","Female","75","2","Manufacturing Director","1","Single","5980","26085","Yes","12","3","4","17","7","4","12","Medium","Low","High","High","High","High"
"335","No","Non-Travel","390","Research & Development","Life Sciences","Male","32","2","Healthcare Representative","3","Divorced","5660","17056","Yes","13","3","4","12","3","1","2","Old","High","Low","High","High","Low"
"336","No","Travel_Frequently","618","Research & Development","Life Sciences","Male","45","2","Healthcare Representative","4","Single","7756","22266","No","17","3","3","7","2","0","4","Medium","Low","Low","Low","Low","High"
"337","No","Non-Travel","267","Sales","Life Sciences","Male","56","2","Sales Executive","4","Single","6230","13430","No","14","3","4","16","3","1","10","Medium","High","High","Low","High","High"
"338","No","Travel_Rarely","1117","Research & Development","Life Sciences","Female","72","1","Research Scientist","4","Married","2011","19982","No","13","3","4","10","5","7","7","Medium","Low","High","Low","High","High"
"339","No","Travel_Frequently","593","Research & Development","Medical","Female","88","3","Research Director","3","Single","13499","13782","No","17","3","3","20","7","2","13","Medium","Low","High","High","Low","High"
"340","No","Travel_Frequently","1311","Research & Development","Life Sciences","Male","100","1","Laboratory Technician","2","Married","2794","26062","No","20","4","3","5","1","0","3","Young","Low","Low","High","Low","High"
"341","No","Travel_Rarely","1232","Research & Development","Medical","Female","39","3","Manufacturing Director","4","Single","7143","25713","Yes","14","3","3","11","9","4","10","Young","High","High","High","Low","High"
"342","No","Travel_Rarely","727","Sales","Life Sciences","Male","54","1","Sales Representative","1","Single","2728","21082","No","11","3","1","2","2","0","2","Young","High","Low","Low","High","High"
"343","No","Travel_Rarely","470","Research & Development","Life Sciences","Male","84","2","Manufacturing Director","1","Married","5957","23687","No","13","3","2","13","9","5","9","Medium","High","High","High","High","Low"
"344","No","Travel_Rarely","1261","Research & Development","Life Sciences","Male","88","2","Manufacturing Director","3","Married","6553","7259","No","14","3","2","14","0","0","0","Medium","High","Low","High","High","High"
"345","Yes","Travel_Rarely","1404","Research & Development","Technical Degree","Male","32","1","Laboratory Technician","4","Divorced","2367","18779","No","12","3","1","6","1","0","3","Young","High","Low","High","Low","Low"
"346","No","Travel_Rarely","1176","Sales","Medical","Female","62","2","Sales Executive","3","Married","5561","3487","No","14","3","1","6","0","1","2","Young","Low","Low","Low","Low","High"
"347","No","Travel_Rarely","1370","Research & Development","Medical","Male","87","1","Laboratory Technician","1","Single","4723","16213","Yes","18","3","4","10","9","1","5","Young","Low","High","Low","High","High"
"348","No","Non-Travel","979","Research & Development","Medical","Male","90","2","Manufacturing Director","3","Married","4345","4381","No","12","3","4","6","4","1","4","Young","High","Low","High","High","Low"
"349","No","Travel_Rarely","921","Research & Development","Life Sciences","Female","96","3","Healthcare Representative","4","Married","7879","14810","Yes","19","3","2","9","7","6","7","Medium","High","Low","High","High","High"
"350","No","Non-Travel","280","Human Resources","Life Sciences","Male","43","1","Human Resources","4","Divorced","2706","10494","No","15","3","2","3","2","2","2","Young","High","Low","Low","High","High"
"351","No","Travel_Rarely","346","Research & Development","Life Sciences","Male","86","2","Laboratory Technician","4","Single","2450","10919","No","17","3","4","19","2","2","2","Old","High","Low","High","High","High"
"352","No","Non-Travel","247","Research & Development","Life Sciences","Female","55","5","Research Director","3","Divorced","19973","20284","No","22","4","2","21","16","5","10","Medium","Low","High","Low","High","Low"
"353","No","Travel_Rarely","249","Sales","Marketing","Female","35","2","Sales Executive","4","Married","4537","17783","Yes","22","4","1","8","6","7","7","Medium","High","Low","Low","High","High"
"354","No","Travel_Rarely","201","Research & Development","Life Sciences","Female","95","1","Laboratory Technician","1","Divorced","2576","20490","No","16","3","2","8","2","1","2","Medium","Low","Low","High","High","High"
"355","No","Travel_Frequently","1141","Sales","Life Sciences","Female","42","2","Sales Executive","1","Married","5376","3193","No","19","3","1","10","3","1","3","Medium","High","Low","High","High","High"
"356","No","Travel_Rarely","1464","Research & Development","Medical","Male","62","5","Research Director","3","Married","19237","12853","Yes","11","3","4","29","1","7","7","Old","Low","Low","High","Low","High"
"357","No","Travel_Rarely","857","Research & Development","Other","Female","59","2","Research Scientist","3","Single","3660","7909","No","13","3","4","10","7","1","7","Young","High","Low","High","High","High"
"358","No","Travel_Rarely","1395","Research & Development","Medical","Male","48","3","Healthcare Representative","4","Married","7005","3458","No","15","3","3","11","3","1","2","Old","Low","Low","High","High","High"
"359","No","Travel_Frequently","313","Research & Development","Medical","Male","61","1","Laboratory Technician","4","Married","2258","15238","No","20","4","1","8","2","1","2","Medium","High","Low","High","High","High"
"360","No","Non-Travel","727","Research & Development","Life Sciences","Male","41","1","Laboratory Technician","3","Married","1281","16900","No","18","3","3","1","0","0","0","Medium","High","Low","High","High","Low"
"361","No","Non-Travel","661","Research & Development","Medical","Female","60","4","Manufacturing Director","3","Married","12965","22308","Yes","20","4","4","27","2","0","2","Old","Low","Low","High","Low","Low"
"362","No","Non-Travel","589","Sales","Life Sciences","Female","67","2","Sales Executive","3","Married","5154","19665","No","22","4","2","10","7","5","7","Medium","High","Low","High","High","High"
"363","No","Travel_Rarely","217","Sales","Marketing","Male","43","2","Sales Executive","3","Single","5487","10410","No","14","3","2","10","4","0","9","Medium","Low","High","High","Low","High"
"364","No","Travel_Rarely","1323","Research & Development","Life Sciences","Female","89","1","Laboratory Technician","4","Single","3212","3300","No","15","3","2","6","2","2","2","Old","High","Low","High","Low","Low"
"365","No","Non-Travel","976","Research & Development","Medical","Male","48","1","Research Scientist","1","Divorced","3065","3995","Yes","13","3","4","4","2","2","3","Young","High","Low","Low","High","High"
"366","No","Travel_Rarely","1059","Research & Development","Other","Male","93","5","Manager","4","Single","19613","26362","No","22","4","4","24","0","0","1","Medium","High","Low","Low","High","Low"
"367","Yes","Travel_Rarely","121","Sales","Marketing","Female","35","3","Sales Executive","4","Married","7639","24525","No","22","4","4","10","4","1","9","Young","Low","High","High","Low","High"
"368","No","Travel_Rarely","1443","Sales","Marketing","Female","47","2","Sales Executive","4","Married","4157","21436","Yes","19","3","3","5","2","0","0","Young","High","Low","High","Low","Low"
"369","No","Travel_Rarely","1378","Research & Development","Other","Male","46","2","Laboratory Technician","2","Married","4025","23679","Yes","13","3","1","10","3","0","3","Young","High","Low","Low","High","Low"
"370","No","Travel_Rarely","269","Research & Development","Technical Degree","Male","42","3","Research Director","4","Divorced","12808","8842","Yes","16","3","2","9","8","0","8","Young","High","Low","Low","High","Low"
"371","Yes","Travel_Frequently","334","Sales","Marketing","Female","52","2","Sales Executive","1","Single","6696","22967","No","15","3","3","9","3","0","1","Young","High","Low","High","Low","Low"
"372","No","Travel_Rarely","1369","Research & Development","Life Sciences","Male","68","4","Manufacturing Director","2","Married","13402","18235","Yes","12","3","1","33","16","15","9","Old","High","High","High","High","High"
"373","No","Travel_Rarely","1124","Sales","Medical","Male","57","2","Sales Executive","4","Married","7457","13273","Yes","22","4","3","6","3","0","2","Medium","Low","Low","Low","Low","Low"
"374","No","Travel_Rarely","282","Research & Development","Medical","Female","58","5","Manager","3","Married","19187","6992","No","14","3","4","23","9","9","11","Old","High","High","Low","High","Low"
"375","No","Travel_Rarely","853","Research & Development","Life Sciences","Male","49","2","Laboratory Technician","3","Divorced","3491","11309","No","13","3","1","10","7","8","9","Young","High","High","High","Low","High"
"376","No","Travel_Frequently","1111","Sales","Life Sciences","Male","61","2","Sales Executive","4","Married","9998","19293","No","13","3","1","8","4","1","2","Medium","Low","Low","Low","High","High"
"377","Yes","Travel_Rarely","1085","Research & Development","Life Sciences","Female","57","1","Laboratory Technician","4","Divorced","2778","17725","Yes","13","3","3","10","7","1","0","Medium","Low","Low","High","Low","Low"
"378","No","Travel_Rarely","1313","Research & Development","Medical","Female","31","5","Research Director","4","Divorced","19049","3549","Yes","14","3","4","23","7","1","10","Medium","Low","High","High","Low","High"
"379","Yes","Travel_Rarely","408","Research & Development","Technical Degree","Female","71","1","Research Scientist","2","Married","2546","18300","No","16","3","2","6","2","1","1","Young","High","Low","High","High","Low"
"380","No","Travel_Rarely","238","Sales","Medical","Female","34","2","Sales Executive","1","Single","8381","7507","No","20","4","4","18","7","8","10","Old","High","High","Low","High","High"
"381","Yes","Non-Travel","1474","Sales","Other","Male","60","2","Sales Executive","3","Married","4707","23914","No","12","3","4","6","2","1","2","Young","High","Low","High","High","High"
"382","No","Non-Travel","786","Research & Development","Medical","Male","76","1","Laboratory Technician","4","Single","2570","11925","No","20","4","3","7","7","5","7","Young","High","Low","High","High","High"
"383","No","Travel_Rarely","946","Research & Development","Medical","Female","52","2","Manufacturing Director","4","Single","6877","20234","Yes","24","4","2","12","0","0","0","Young","High","Low","High","Low","Low"
"384","No","Travel_Rarely","325","Research & Development","Technical Degree","Female","63","3","Healthcare Representative","3","Married","7094","5747","No","12","3","1","10","7","1","7","Medium","High","Low","High","High","High"
"385","No","Travel_Rarely","1093","Sales","Medical","Male","87","2","Sales Executive","3","Single","5010","24301","No","16","3","1","12","8","5","7","Young","Low","High","High","High","High"
"386","No","Travel_Rarely","367","Research & Development","Medical","Female","52","2","Healthcare Representative","4","Divorced","5731","17171","No","13","3","3","9","2","1","3","Medium","High","Low","Low","High","Low"
"387","No","Travel_Rarely","1038","Research & Development","Medical","Male","95","3","Healthcare Representative","1","Divorced","10851","19863","Yes","18","3","2","24","7","0","7","Medium","Low","Low","High","High","Low"
"388","No","Travel_Rarely","1125","Sales","Marketing","Female","94","3","Sales Executive","4","Married","9071","11563","Yes","19","3","3","15","2","1","2","Medium","High","Low","High","High","Low"
"389","Yes","Non-Travel","1362","Sales","Marketing","Male","67","2","Sales Executive","4","Single","5304","4652","Yes","13","3","2","9","2","0","4","Medium","Low","Low","High","Low","High"
"390","No","Travel_Rarely","482","Research & Development","Life Sciences","Female","90","1","Research Scientist","3","Married","2933","14908","Yes","13","3","3","1","0","1","0","Young","Low","Low","Low","Low","Low"
"391","Yes","Travel_Frequently","342","Research & Development","Life Sciences","Male","57","1","Research Scientist","1","Married","2042","15346","Yes","14","3","2","6","2","1","2","Young","Low","Low","High","High","High"
"392","No","Non-Travel","457","Research & Development","Other","Female","85","1","Research Scientist","3","Married","2814","10293","Yes","14","3","2","4","2","1","3","Young","Low","Low","Low","Low","Low"
"393","No","Travel_Rarely","528","Human Resources","Technical Degree","Male","100","1","Human Resources","3","Single","4323","7108","No","17","3","2","6","4","1","4","Medium","High","Low","High","Low","High"
"394","No","Travel_Rarely","929","Sales","Marketing","Male","55","2","Sales Executive","4","Single","5396","21703","No","12","3","4","10","7","0","8","Young","High","High","High","Low","High"
"395","No","Travel_Frequently","783","Sales","Life Sciences","Male","42","2","Sales Executive","4","Married","6834","19255","Yes","12","3","3","7","7","0","7","Young","High","Low","Low","High","Low"
"396","Yes","Travel_Rarely","1033","Research & Development","Medical","Female","41","1","Laboratory Technician","1","Single","4200","10224","No","22","4","1","10","4","0","4","Young","Low","Low","High","High","High"
"397","No","Travel_Frequently","1242","Sales","Life Sciences","Female","90","2","Sales Executive","3","Single","9981","12916","No","14","3","4","7","7","0","7","Young","High","Low","High","High","High"
"398","No","Travel_Rarely","1222","Research & Development","Life Sciences","Male","48","1","Research Scientist","4","Married","2356","14871","Yes","19","3","2","8","4","0","2","Young","High","Low","High","High","High"
"399","No","Travel_Rarely","1009","Research & Development","Life Sciences","Male","51","4","Research Director","3","Married","17861","2288","No","13","3","3","26","2","0","1","Medium","Low","Low","High","Low","High"
"400","No","Travel_Frequently","1200","Research & Development","Life Sciences","Female","75","2","Research Scientist","4","Divorced","5467","13953","Yes","14","3","1","12","2","3","3","Medium","High","Low","High","Low","High"
"401","No","Travel_Rarely","150","Research & Development","Technical Degree","Male","60","2","Manufacturing Director","4","Divorced","7379","17433","No","11","3","3","12","3","1","4","Medium","High","Low","High","Low","High"
"402","No","Travel_Frequently","585","Research & Development","Life Sciences","Male","56","1","Research Scientist","3","Married","3433","17360","No","13","3","1","10","2","1","3","Young","Low","Low","High","Low","High"
"403","No","Travel_Rarely","895","Research & Development","Life Sciences","Male","50","1","Laboratory Technician","3","Divorced","2207","22482","No","16","3","4","4","2","2","2","Young","Low","Low","Low","Low","High"
"404","No","Travel_Rarely","1252","Research & Development","Life Sciences","Male","81","1","Research Scientist","3","Married","2700","23779","No","24","4","3","10","7","0","7","Young","High","High","Low","High","High"
"405","No","Travel_Rarely","498","Research & Development","Medical","Female","93","2","Manufacturing Director","1","Married","6725","13554","No","12","3","3","8","7","6","3","Young","High","Low","High","High","High"
"406","No","Travel_Frequently","1050","Research & Development","Medical","Female","87","4","Manager","4","Divorced","16032","24456","No","20","4","1","26","9","1","12","Old","Low","High","High","High","High"
"407","Yes","Travel_Frequently","662","Sales","Marketing","Female","67","2","Sales Executive","3","Married","4614","23288","Yes","18","3","3","5","2","3","2","Medium","High","Low","High","Low","High"
"408","No","Travel_Rarely","264","Sales","Marketing","Male","59","5","Manager","3","Married","19331","19519","Yes","16","3","3","27","0","0","0","Old","High","Low","High","High","High"
"409","No","Travel_Rarely","583","Sales","Marketing","Male","87","2","Sales Executive","1","Married","4256","18154","No","12","3","1","5","2","0","3","Young","High","Low","Low","High","Low"
"410","No","Travel_Rarely","117","Sales","Life Sciences","Male","73","2","Sales Executive","4","Divorced","4403","9250","No","11","3","3","8","2","0","3","Young","Low","Low","High","Low","High"
"411","No","Travel_Rarely","170","Research & Development","Medical","Male","76","2","Laboratory Technician","3","Divorced","3069","10302","No","15","3","4","11","8","0","7","Medium","High","High","Low","High","Low"
"412","No","Travel_Rarely","1240","Research & Development","Life Sciences","Female","33","1","Laboratory Technician","1","Divorced","2341","19715","No","13","3","4","1","0","0","0","Young","High","Low","High","High","High"
"413","No","Travel_Rarely","369","Research & Development","Life Sciences","Female","92","2","Manufacturing Director","1","Married","6516","5041","Yes","16","3","2","18","0","0","0","Medium","Low","Low","Low","High","High"
"414","No","Travel_Rarely","419","Research & Development","Life Sciences","Female","53","3","Research Director","2","Single","11994","21293","No","11","3","3","13","6","2","11","Medium","Low","High","High","High","High"
"415","No","Travel_Rarely","1296","Research & Development","Technical Degree","Male","62","3","Manufacturing Director","2","Single","8095","18264","No","13","3","4","17","6","0","13","Medium","High","High","High","High","High"
"416","No","Travel_Rarely","254","Research & Development","Life Sciences","Male","83","1","Research Scientist","4","Married","3622","22794","Yes","13","3","4","6","5","1","3","Medium","Low","Low","Low","High","Low"
"417","No","Travel_Rarely","1383","Human Resources","Life Sciences","Female","42","2","Human Resources","4","Married","5204","7790","No","11","3","3","13","4","0","4","Medium","High","Low","High","High","Low"
"418","Yes","Travel_Rarely","626","Research & Development","Life Sciences","Male","98","3","Laboratory Technician","3","Single","5381","19294","Yes","13","3","4","23","0","0","0","Old","Low","Low","Low","High","Low"
"419","No","Travel_Rarely","854","Sales","Medical","Female","68","5","Manager","4","Divorced","19517","24118","No","11","3","3","32","0","0","6","Old","High","Low","High","Low","High"
"420","No","Travel_Rarely","884","Sales","Life Sciences","Female","73","2","Sales Executive","3","Single","6815","21447","No","13","3","1","15","0","0","0","Medium","Low","Low","High","High","High"
"421","No","Travel_Frequently","1297","Research & Development","Medical","Male","44","2","Healthcare Representative","3","Single","5399","14511","No","12","3","3","12","2","0","3","Medium","Low","Low","High","High","High"
"422","No","Travel_Rarely","588","Sales","Technical Degree","Female","65","2","Sales Executive","2","Married","5228","24624","Yes","11","3","4","13","12","11","9","Young","High","High","Low","High","Low"
"423","No","Travel_Rarely","117","Research & Development","Medical","Male","99","4","Manager","1","Married","17068","5355","Yes","14","3","4","21","9","11","10","Medium","High","High","Low","High","High"
"424","No","Travel_Rarely","821","Research & Development","Medical","Male","86","5","Research Director","1","Married","19406","8509","No","11","3","3","24","2","1","2","Old","Low","Low","Low","Low","High"
"425","No","Travel_Rarely","571","Research & Development","Life Sciences","Female","82","1","Research Scientist","1","Divorced","2782","19905","Yes","13","3","2","6","3","4","3","Medium","High","Low","Low","Low","High"
"426","No","Travel_Rarely","607","Research & Development","Life Sciences","Female","66","3","Manufacturing Director","3","Married","10685","23457","Yes","20","4","2","17","14","5","15","Medium","High","High","High","High","Low"
"427","No","Travel_Rarely","1189","Sales","Life Sciences","Male","87","3","Sales Executive","4","Single","7428","14506","No","12","3","1","12","3","1","3","Medium","High","Low","High","High","High"
"428","No","Travel_Rarely","1400","Sales","Life Sciences","Female","70","2","Sales Executive","3","Married","5714","5829","No","20","4","1","6","5","1","3","Medium","Low","Low","Low","Low","High"
"429","No","Travel_Rarely","1351","Research & Development","Life Sciences","Male","45","2","Research Scientist","4","Married","5484","13008","No","17","3","2","9","2","2","1","Medium","Low","Low","High","Low","High"
"430","No","Travel_Rarely","917","Research & Development","Life Sciences","Male","60","1","Laboratory Technician","3","Divorced","2741","6865","No","14","3","3","7","7","1","7","Medium","High","Low","High","High","Low"
"431","No","Travel_Rarely","933","Sales","Life Sciences","Male","57","2","Sales Executive","3","Married","5296","20156","No","17","3","2","8","7","7","7","Young","High","Low","High","High","High"
"432","No","Travel_Rarely","1001","Research & Development","Life Sciences","Female","92","3","Manufacturing Director","2","Divorced","10333","19271","Yes","12","3","3","28","11","14","10","Medium","High","High","High","High","Low"
"433","Yes","Travel_Rarely","267","Sales","Marketing","Male","85","4","Sales Executive","3","Single","13695","9277","Yes","17","3","3","24","7","3","8","Old","Low","High","High","Low","High"
"434","No","Travel_Frequently","806","Research & Development","Life Sciences","Male","76","1","Research Scientist","4","Divorced","2720","18959","No","18","3","4","10","7","2","8","Young","Low","High","High","High","Low"
"435","Yes","Travel_Rarely","441","Research & Development","Life Sciences","Female","72","1","Research Scientist","2","Married","4963","4510","Yes","18","3","1","7","4","4","3","Old","Low","Low","High","High","High"
"436","No","Travel_Rarely","832","Research & Development","Life Sciences","Female","63","1","Research Scientist","4","Married","2911","14776","No","13","3","3","2","2","0","2","Medium","High","Low","High","Low","Low"
"437","No","Non-Travel","1116","Research & Development","Medical","Female","49","1","Laboratory Technician","4","Single","2564","7181","No","14","3","3","12","7","6","7","Young","High","High","High","Low","High"
"438","No","Non-Travel","728","Research & Development","Medical","Female","80","3","Research Director","4","Divorced","13603","11677","Yes","18","3","1","15","2","0","2","Medium","Low","Low","High","High","High"
"439","No","Travel_Rarely","1137","Research & Development","Life Sciences","Male","98","4","Manager","1","Divorced","16823","18991","No","11","3","1","22","7","11","16","Medium","Low","High","High","High","High"
"440","No","Travel_Rarely","817","Research & Development","Medical","Female","60","2","Laboratory Technician","4","Married","5363","10846","No","12","3","2","10","7","0","0","Medium","High","Low","High","High","Low"
"441","Yes","Non-Travel","592","Research & Development","Life Sciences","Female","54","1","Laboratory Technician","1","Single","3646","17181","Yes","23","4","2","11","0","0","0","Medium","Low","Low","High","High","Low"
"442","No","Travel_Rarely","106","Human Resources","Human Resources","Male","62","2","Human Resources","1","Married","6410","17822","No","12","3","4","9","2","1","0","Young","Low","Low","High","High","Low"
"443","No","Travel_Rarely","589","Sales","Marketing","Male","46","2","Sales Executive","2","Married","4189","8800","No","14","3","1","5","2","0","3","Medium","Low","Low","Low","High","Low"
"444","No","Travel_Rarely","574","Research & Development","Life Sciences","Male","30","3","Healthcare Representative","3","Married","7510","16873","No","17","3","2","10","9","0","9","Medium","Low","High","High","High","High"
"445","No","Travel_Frequently","1283","Sales","Medical","Male","52","2","Sales Executive","1","Single","4294","11148","No","12","3","2","7","7","0","7","Young","High","Low","High","High","Low"
"446","No","Travel_Rarely","188","Research & Development","Medical","Male","56","2","Laboratory Technician","4","Single","4272","9558","No","19","3","1","16","0","0","0","Medium","Low","Low","High","High","Low"
"447","No","Travel_Rarely","979","Sales","Marketing","Male","94","3","Sales Executive","1","Divorced","7140","3088","No","11","3","1","12","7","1","7","Young","High","Low","Low","High","Low"
"448","No","Travel_Rarely","265","Sales","Marketing","Male","90","5","Manager","3","Married","18303","7770","No","13","3","2","21","0","0","0","Medium","High","Low","Low","High","High"
"449","No","Travel_Rarely","1194","Research & Development","Life Sciences","Female","52","2","Healthcare Representative","4","Divorced","6513","9060","No","17","3","4","12","3","0","3","Medium","High","Low","High","High","High"
"450","No","Travel_Rarely","1157","Research & Development","Technical Degree","Male","51","1","Research Scientist","2","Married","3058","13364","Yes","16","3","4","6","2","1","1","Young","High","Low","High","Low","High"
"451","Yes","Travel_Frequently","769","Sales","Marketing","Female","54","1","Sales Representative","4","Single","2323","17205","Yes","14","3","2","2","2","0","2","Young","High","Low","High","High","High"
"452","Yes","Non-Travel","967","Research & Development","Technical Degree","Male","85","1","Research Scientist","1","Married","2307","14460","Yes","23","4","2","5","2","3","0","Medium","High","Low","High","High","Low"
"453","No","Travel_Rarely","1371","Sales","Marketing","Female","77","2","Sales Executive","3","Divorced","4260","5915","Yes","12","3","4","5","2","0","3","Young","High","Low","High","High","High"
